Game,n_agents,n_rounds,Round,Agent,Contribution,Total_Contribution,Multiplied_Contribution,Reward,multplier
game_1696190599_BKOH8,2,10,1,agent_1,5,6,6,3.0,1.0
game_1696190599_BKOH8,2,10,1,agent_2,1,6,6,3.0,1.0
game_1696190599_BKOH8,2,10,2,agent_1,4,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,2,agent_2,3,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,3,agent_1,3,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,3,agent_2,4,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,4,agent_1,4,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,4,agent_2,3,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,5,agent_1,3,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,5,agent_2,4,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,6,agent_1,4,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,6,agent_2,3,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,7,agent_1,3,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,7,agent_2,4,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,8,agent_1,4,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,8,agent_2,3,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,9,agent_1,3,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,9,agent_2,4,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,10,agent_1,4,7,7,3.5,1.0
game_1696190599_BKOH8,2,10,10,agent_2,3,7,7,3.5,1.0
game_1696190608_5ZSLO,2,10,1,agent_1,7,10,13.0,6.5,1.3
game_1696190608_5ZSLO,2,10,1,agent_2,3,10,13.0,6.5,1.3
game_1696190608_5ZSLO,2,10,2,agent_1,5,9,11.700000000000001,5.8500000000000005,1.3
game_1696190608_5ZSLO,2,10,2,agent_2,4,9,11.700000000000001,5.8500000000000005,1.3
game_1696190608_5ZSLO,2,10,3,agent_1,4,9,11.700000000000001,5.8500000000000005,1.3
game_1696190608_5ZSLO,2,10,3,agent_2,5,9,11.700000000000001,5.8500000000000005,1.3
game_1696190619_6SXKT,2,10,1,agent_1,5,10,8.0,4.0,0.8
game_1696190619_6SXKT,2,10,1,agent_2,5,10,8.0,4.0,0.8
game_1696190619_6SXKT,2,10,2,agent_1,4,4,3.2,1.6,0.8
game_1696190619_6SXKT,2,10,2,agent_2,0,4,3.2,1.6,0.8
