Game,n_agents,n_rounds,Round,Agent,Contribution,Total_Contribution,Multiplied_Contribution,Reward,multplier
game_1696069201_F1B2L,2,10,1,agent_1,5,10,10,5.0,1.0
game_1696069201_F1B2L,2,10,1,agent_2,5,10,10,5.0,1.0
game_1696069201_F1B2L,2,10,2,agent_1,3,10,10,5.0,1.0
game_1696069201_F1B2L,2,10,2,agent_2,7,10,10,5.0,1.0
game_1696069201_F1B2L,2,10,3,agent_1,4,10,10,5.0,1.0
game_1696069201_F1B2L,2,10,3,agent_2,6,10,10,5.0,1.0
game_1696069201_F1B2L,2,10,4,agent_1,2,6,6,3.0,1.0
game_1696069201_F1B2L,2,10,4,agent_2,4,6,6,3.0,1.0
game_1696069201_F1B2L,2,10,5,agent_1,1,4,4,2.0,1.0
game_1696069201_F1B2L,2,10,5,agent_2,3,4,4,2.0,1.0
game_1696069201_F1B2L,2,10,6,agent_1,2,4,4,2.0,1.0
game_1696069201_F1B2L,2,10,6,agent_2,2,4,4,2.0,1.0
game_1696069201_F1B2L,2,10,7,agent_1,3,5,5,2.5,1.0
game_1696069201_F1B2L,2,10,7,agent_2,2,5,5,2.5,1.0
game_1696069201_F1B2L,2,10,8,agent_1,2,4,4,2.0,1.0
game_1696069201_F1B2L,2,10,8,agent_2,2,4,4,2.0,1.0
game_1696069201_F1B2L,2,10,9,agent_1,1,2,2,1.0,1.0
game_1696069201_F1B2L,2,10,9,agent_2,1,2,2,1.0,1.0
game_1696069201_F1B2L,2,10,10,agent_1,0,1,1,0.5,1.0
game_1696069201_F1B2L,2,10,10,agent_2,1,1,1,0.5,1.0
game_1696069212_VF3GX,2,10,1,agent_1,5,10,13.0,6.5,1.3
game_1696069212_VF3GX,2,10,1,agent_2,5,10,13.0,6.5,1.3
game_1696069212_VF3GX,2,10,2,agent_1,4,9,11.700000000000001,5.8500000000000005,1.3
game_1696069212_VF3GX,2,10,2,agent_2,5,9,11.700000000000001,5.8500000000000005,1.3
game_1696069212_VF3GX,2,10,3,agent_1,3,7,9.1,4.55,1.3
game_1696069212_VF3GX,2,10,3,agent_2,4,7,9.1,4.55,1.3
game_1696069212_VF3GX,2,10,4,agent_1,2,5,6.5,3.25,1.3
game_1696069212_VF3GX,2,10,4,agent_2,3,5,6.5,3.25,1.3
game_1696069212_VF3GX,2,10,5,agent_1,1,4,5.2,2.6,1.3
game_1696069212_VF3GX,2,10,5,agent_2,3,4,5.2,2.6,1.3
game_1696069212_VF3GX,2,10,6,agent_1,2,4,5.2,2.6,1.3
game_1696069212_VF3GX,2,10,6,agent_2,2,4,5.2,2.6,1.3
game_1696069212_VF3GX,2,10,7,agent_1,3,5,6.5,3.25,1.3
game_1696069212_VF3GX,2,10,7,agent_2,2,5,6.5,3.25,1.3
game_1696069212_VF3GX,2,10,8,agent_1,2,4,5.2,2.6,1.3
game_1696069212_VF3GX,2,10,8,agent_2,2,4,5.2,2.6,1.3
game_1696069212_VF3GX,2,10,9,agent_1,1,3,3.9000000000000004,1.9500000000000002,1.3
game_1696069212_VF3GX,2,10,9,agent_2,2,3,3.9000000000000004,1.9500000000000002,1.3
game_1696069212_VF3GX,2,10,10,agent_1,1,2,2.6,1.3,1.3
game_1696069212_VF3GX,2,10,10,agent_2,1,2,2.6,1.3,1.3
game_1696069221_BOOYP,2,10,1,agent_1,5,10,17.0,8.5,1.7
game_1696069221_BOOYP,2,10,1,agent_2,5,10,17.0,8.5,1.7
game_1696069221_BOOYP,2,10,2,agent_1,6,12,20.4,10.2,1.7
game_1696069221_BOOYP,2,10,2,agent_2,6,12,20.4,10.2,1.7
game_1696069221_BOOYP,2,10,3,agent_1,7,11,18.7,9.35,1.7
game_1696069221_BOOYP,2,10,3,agent_2,4,11,18.7,9.35,1.7
game_1696069221_BOOYP,2,10,4,agent_1,5,8,13.6,6.8,1.7
game_1696069221_BOOYP,2,10,4,agent_2,3,8,13.6,6.8,1.7
game_1696069221_BOOYP,2,10,5,agent_1,4,9,15.299999999999999,7.6499999999999995,1.7
game_1696069221_BOOYP,2,10,5,agent_2,5,9,15.299999999999999,7.6499999999999995,1.7
game_1696069221_BOOYP,2,10,6,agent_1,3,7,11.9,5.95,1.7
game_1696069221_BOOYP,2,10,6,agent_2,4,7,11.9,5.95,1.7
game_1696069221_BOOYP,2,10,7,agent_1,2,5,8.5,4.25,1.7
game_1696069221_BOOYP,2,10,7,agent_2,3,5,8.5,4.25,1.7
game_1696069221_BOOYP,2,10,8,agent_1,1,3,5.1,2.55,1.7
game_1696069221_BOOYP,2,10,8,agent_2,2,3,5.1,2.55,1.7
game_1696069221_BOOYP,2,10,9,agent_1,2,4,6.8,3.4,1.7
game_1696069221_BOOYP,2,10,9,agent_2,2,4,6.8,3.4,1.7
game_1696069221_BOOYP,2,10,10,agent_1,3,5,8.5,4.25,1.7
game_1696069221_BOOYP,2,10,10,agent_2,2,5,8.5,4.25,1.7
game_1696069231_W9XQI,2,10,1,agent_1,10,20,40.0,20.0,2.0
game_1696069231_W9XQI,2,10,1,agent_2,10,20,40.0,20.0,2.0
game_1696069231_W9XQI,2,10,2,agent_1,10,20,40.0,20.0,2.0
game_1696069231_W9XQI,2,10,2,agent_2,10,20,40.0,20.0,2.0
game_1696069231_W9XQI,2,10,3,agent_1,10,20,40.0,20.0,2.0
game_1696069231_W9XQI,2,10,3,agent_2,10,20,40.0,20.0,2.0
